1,20
2,21
3,21
4,21
5,22
6,21
7,21
8,22
9,22
10,21
11,22
12,22
13,21
14,21
15,21
16,21
17,21
18,22
19,21
20,21
21,21
22,21
23,22
24,22
25,21
26,21
27,22
28,21
29,21
30,22
31,21
32,21
33,21
34,21
35,21
36,22
37,22
38,21
39,21
40,21
41,21
42,22
43,21
44,22
45,22
46,22
47,21
48,21
49,22
50,21
51,21
52,21
53,21
54,21
55,21
56,21
57,21
58,21
59,23
60,22
61,22
62,22
63,21
64,22
65,21
66,21
67,22
68,21
69,21
70,22
71,22
72,22
73,22
74,22
75,22
76,22
77,21
78,22
79,22
80,22
81,22
82,22
83,22
84,21
85,22
86,21
87,21
88,22
89,22
90,21
91,21
92,21
93,21
94,21
95,21
96,21
97,21
98,21
99,22
100,21
101,22
102,21
103,22
104,23
105,23
106,22
107,23
108,22
109,23
110,23
111,23
112,23
113,23
114,23
115,23
116,23
117,23
118,23
119,23
120,23
121,23
122,23
123,23
124,22
125,22
126,23
127,22
128,22
129,22
130,22
131,22
132,21
133,22
134,22
135,21
136,22
137,23
138,22
139,22
140,22
141,22
142,22
143,22
144,22
145,21
146,21
147,21
148,21
149,21
150,22
151,22
152,22
153,25
154,34
155,39
156,43
157,44
158,45
159,45
160,44
161,45
162,45
163,46
164,47
165,49
166,49
167,48
168,47
169,44
170,42
171,41
172,37
173,35
174,34
175,33
176,30
177,30
178,30
179,30
180,30
181,31
182,30
183,31
184,34
185,38
186,39
187,41
188,42
189,41
190,39
191,43
192,42
193,43
194,44
195,42
196,43
197,43
198,45
199,45
200,44
201,42
202,38
203,36
204,33
205,32
206,30
207,29
208,28
209,27
210,26
211,27
212,25
213,26
214,26
215,24
216,25
217,26
218,28
219,29
220,34
221,37
222,41
223,39
224,41
225,41
226,42
227,43
228,42
229,43
230,42
231,43
232,46
233,45
234,41
235,39
236,37
237,33
238,30
239,30
240,26
241,26
242,27
243,25
244,25
245,26
246,25
247,25
248,25
249,24
250,25
251,28
252,33
253,35
254,36
255,39
256,41
257,40
258,43
259,43
260,41
261,45
262,42
263,45
264,45
265,45
266,44
267,42
268,38
269,37
270,34
271,31
272,30
273,29
274,28
275,27
276,26
277,26
278,26
279,26
280,26
281,27
282,28
283,29
284,33
285,36
286,40
287,39
288,40
289,41
290,40
291,42
292,40
293,40
294,43
295,55
296,45
297,38
298,39
299,36
300,33
301,32
302,30
303,28
304,27
305,27
306,26
307,26
308,26
309,24
310,25
311,25
312,25
313,25
314,26
315,27
316,27
317,30
318,33
319,34
320,38
321,40
322,40
323,45
324,42
325,41
326,43
327,42
328,44
329,43
330,47
331,47
332,45
333,39
334,37
335,36
336,32
337,30
338,28
339,27
340,27
341,27
342,26
343,26
344,25
345,26
346,26
347,28
348,29
349,29
350,32
351,36
352,40
353,42
354,44
355,46
356,46
357,51
358,49
359,40
360,36
361,33
362,34
363,41
364,43
365,46
366,47
367,46
368,49
369,53
370,51
371,44
372,37
373,35
374,33
375,36
376,39
377,45
378,46
379,46
380,47
381,46
382,49
383,52
384,47
385,41
386,36
387,33
388,33
389,36
390,43
391,45
392,47
393,47
394,47
395,53
396,50
397,45
398,39
399,36
400,36
401,34
402,34
403,39
404,43
405,45
406,46
407,46
408,46
409,45
410,51
411,48
412,41
413,38
414,33
415,31
416,33
417,38
418,43
419,46
420,46
421,46
422,45
423,49
424,49
425,42
426,38
427,34
428,30
429,30
430,27
431,33
432,38
433,41
434,45
435,45
436,44
437,48
438,49
439,42
440,38
441,33
442,32
443,31
444,31
445,41
446,43
447,43
448,44
449,46
450,45
451,50
452,48
453,42
454,35
455,32
456,29
457,28
458,28
459,29
460,36
461,39
462,43
463,44
464,43
465,43
466,49
467,45
468,40
469,37
470,34
471,33
472,32
473,29
474,29
475,31
476,38
477,41
478,43
479,45
480,43
481,49
482,43
483,38
484,32
485,30
486,28
487,27
488,27
489,30
490,36
491,40
492,44
493,44
494,45
495,48
496,47
497,37
498,34
499,30
500,28
